B01001,Sex by Age,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
30 to 34 years,11647890,5639,156831,511,12502,39,12502,39,19,25,10,20,1657,305,2596,478,279,106,1368,258,1346,286,408,165,25,20,13,16,3,6,374,169,313,126,2,3,53,60,15,17,60,62,14,17,302,122,185,91,384,146,0,13,28,27,11,10,97,58,0,13,91,53,0,13,157,94,1446,229,1225,286,0,13,264,141,6,10,0,13,38,29,22,37,3,5,2,5
35 to 39 years,11216324,21579,151759,2591,12641,601,12641,601,35,24,0,13,1422,296,2014,344,358,177,1232,205,1378,237,476,118,13,13,34,35,3,6,557,139,424,169,12,15,52,44,59,55,51,52,8,14,482,186,245,124,445,159,1,4,62,43,29,18,10,12,75,63,54,37,32,32,137,70,1282,221,1462,267,10,7,407,168,47,43,32,31,0,13,19,19,9,15,34,36
40 to 44 years,10673030,20772,148464,2559,11565,599,11565,599,56,45,0,13,1325,330,2048,333,238,91,1075,231,1325,280,474,172,45,29,22,21,73,46,684,198,515,175,30,24,63,43,0,13,73,67,68,39,254,114,197,120,452,136,37,24,33,36,42,44,19,17,71,62,151,75,9,15,88,72,1218,272,1041,203,12,14,196,182,24,31,0,13,6,10,5,8,0,13,65,57
45 to 49 years,10008664,4442,133047,579,11024,90,11024,90,26,22,17,17,912,201,1428,301,194,86,1186,216,1655,283,308,93,52,49,12,15,20,24,785,223,384,122,7,8,21,31,46,61,74,61,50,37,427,233,135,85,627,245,14,18,53,48,19,16,31,33,140,80,69,49,25,27,37,62,1124,254,1067,264,0,13,189,105,12,14,77,92,20,21,8,10,42,40,101,54
50 to 54 years,10367604,3743,130805,416,10850,94,10850,94,19,19,21,33,1071,237,1562,257,211,94,1021,197,2046,387,362,126,15,12,26,28,18,22,578,133,230,107,25,16,51,47,39,43,83,50,64,66,334,144,125,89,422,186,27,24,75,38,3,4,48,42,56,42,57,39,43,47,18,29,1071,251,1030,260,8,6,239,125,15,23,0,13,5,8,42,43,2,3,50,26
55 to 59 years,10492868,20789,127517,2116,11724,589,11724,589,49,26,0,13,936,294,1709,317,154,71,1062,173,1450,268,524,194,11,14,23,19,26,26,629,208,283,87,12,9,99,56,11,18,135,93,80,51,367,97,87,64,617,193,9,12,75,46,33,27,106,63,99,72,146,54,9,14,115,102,1037,239,1499,301,0,13,560,245,28,28,42,31,35,55,18,29,4,5,32,28
60 and 61 years,4300173,13883,52613,1553,4396,433,4396,433,45,42,24,32,365,137,558,180,40,47,314,89,525,118,121,59,0,13,17,28,49,35,213,86,281,152,0,13,0,13,22,24,20,22,14,15,80,48,31,27,293,150,0,13,31,26,10,9,34,36,16,29,65,49,8,13,157,144,587,191,340,109,38,29,179,100,14,17,60,60,17,21,3,5,0,13,21,20
62 to 64 years,6067989,19630,77936,2202,6751,465,6751,465,122,88,0,13,494,166,882,231,174,77,602,168,876,187,200,79,12,11,30,25,31,26,382,182,150,83,20,11,0,13,8,13,43,31,40,36,450,137,166,86,197,93,22,26,53,34,29,27,54,45,61,65,72,68,19,21,101,78,628,158,769,203,12,9,233,112,11,13,35,58,4,6,89,110,0,13,43,32
65 and 66 years,3713703,13344,52126,1765,5227,421,5227,421,9,10,48,75,204,101,599,170,101,53,427,109,615,119,180,74,10,9,32,26,18,29,247,81,70,47,24,24,160,135,6,9,23,25,13,14,402,129,65,53,180,103,26,38,0,13,15,16,25,26,13,23,49,69,85,105,138,88,573,200,477,168,7,8,488,250,9,9,0,13,4,5,35,41,29,36,19,21
67 to 69 years,4997615,14587,71383,1853,6174,538,6174,538,28,18,41,36,432,177,386,125,122,51,549,104,1198,220,224,106,23,21,11,12,11,17,318,104,154,84,22,17,79,50,17,28,66,39,20,27,519,167,0,13,299,134,8,9,25,21,16,14,20,27,133,170,78,38,18,13,61,75,423,116,731,177,24,19,194,97,18,18,12,20,6,12,10,10,26,40,66,49
