B15002,Sex by Educational Attainment for the Population 25 Years and Over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,,Oregon,,"Lane County, OR",,"Eugene-Springfield, OR Metro Area",,97324,,97390,,97401,,97402,,97403,,97404,,97405,,97408,,97412,,97413,,97419,,97424,,97426,,97430,,97431,,97434,,97437,,97438,,97439,,97446,,97448,,97451,,97452,,97453,,97454,,97455,,97456,,97461,,97463,,97477,,97478,,97480,,97487,,97488,,97489,,97490,,97492,,97493,,97498,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
"Some college, less than 1 year",6921237,44171,112963,2574,11727,796,11727,796,28,24,22,31,897,262,1831,315,153,96,1183,202,1200,287,522,183,21,16,38,27,61,36,596,217,436,172,4,4,22,23,25,39,33,30,64,53,839,285,288,124,347,154,14,18,42,28,15,8,56,47,67,64,63,36,40,39,72,62,1363,270,1409,334,6,6,298,115,12,13,23,27,44,56,3,5,31,26,93,64
"Some college, 1 or more years, no degree",14589709,52230,237107,3812,23820,1059,23820,1059,88,43,88,70,2321,391,3360,412,296,78,2035,289,3189,543,654,162,40,25,64,43,54,33,1235,205,607,175,22,19,157,117,80,68,155,53,85,47,1076,238,345,164,1126,288,58,48,170,69,107,67,91,56,78,59,200,97,118,107,103,100,2357,406,2734,458,42,24,1053,299,52,37,118,101,25,23,165,205,77,61,152,56
Associate's degree,8767038,28708,130234,2476,11621,861,11621,861,49,31,0,13,1301,307,2058,369,176,74,1294,263,852,192,355,119,34,23,55,56,23,24,757,233,334,138,12,10,49,42,5,8,65,31,30,21,551,184,166,70,440,174,7,11,86,60,33,19,16,15,116,88,96,42,35,27,141,98,972,217,1284,298,4,5,327,144,65,30,21,27,16,21,97,111,20,21,92,47
Bachelor's degree,23131280,100159,322991,4384,24774,1264,24774,1264,32,28,91,69,4188,553,2652,361,825,195,2254,320,4223,471,1517,255,65,47,84,43,46,33,807,194,788,237,42,20,147,95,92,79,76,44,84,61,932,152,197,125,981,303,14,16,45,24,27,18,68,49,209,150,170,67,9,15,201,121,1909,256,1853,275,43,28,466,156,37,30,22,28,5,8,25,23,35,29,124,55
Master's degree,9685494,67071,125424,3410,9720,762,9720,762,33,23,75,80,1559,314,817,181,428,103,972,192,2629,332,632,172,14,15,20,17,20,21,277,161,232,130,4,5,26,31,9,15,11,15,8,11,412,169,48,59,381,147,0,13,32,43,3,4,23,28,45,55,10,13,7,16,43,52,549,142,394,125,0,13,107,78,47,27,14,23,4,6,1,3,0,13,88,57
Professional school degree,2871119,21114,39622,1597,3576,519,3576,519,2,4,0,13,438,161,462,420,184,76,157,75,1272,307,310,119,2,3,12,13,10,15,88,57,5,13,4,5,26,38,0,13,15,24,6,9,90,41,0,13,27,31,4,5,5,8,3,4,8,10,37,50,13,15,0,13,0,13,101,60,247,178,0,13,27,30,17,26,0,13,0,13,7,11,0,13,65,51
Doctorate degree,2060617,20276,32749,1618,3235,456,3235,456,3,5,0,13,596,168,317,221,257,82,134,72,1186,241,110,57,0,13,0,13,0,13,63,76,13,14,5,5,19,28,0,13,0,13,0,13,74,42,0,13,18,21,0,13,13,18,1,2,0,13,32,37,0,13,0,13,0,13,219,112,152,110,0,13,3,6,1,3,0,13,0,13,0,13,4,5,38,38
Female:,117053190,6689,1531376,591,136408,26,136408,26,435,99,385,210,14892,649,19066,825,3257,433,12417,668,17021,779,5864,341,208,80,309,95,379,91,6947,447,3454,325,181,50,769,180,259,104,902,142,418,122,7342,423,1681,155,5368,467,177,78,644,151,394,85,452,122,853,227,1296,261,284,159,1480,201,14206,678,14108,760,116,48,3447,360,287,104,313,122,154,102,402,214,158,53,953,191
No schooling completed,2114325,15242,19391,1154,1066,238,1066,238,0,13,0,13,93,80,146,74,0,21,64,42,121,128,20,26,0,13,0,13,0,13,23,26,55,72,0,13,21,29,0,13,0,13,0,13,44,46,16,25,72,69,0,13,7,12,0,13,4,8,0,13,2,4,9,14,32,55,224,129,131,74,0,13,0,19,0,13,0,13,0,13,0,13,0,13,0,13
Nursery to 4th grade,630994,10463,6789,718,129,74,129,74,0,13,0,13,6,12,93,67,0,21,26,28,0,28,0,21,0,13,0,13,0,13,0,21,0,21,0,13,0,13,0,13,0,13,0,13,0,21,0,13,1,3,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,13,0,28,0,28,0,13,0,19,0,13,0,13,0,13,3,5,0,13,0,13
